nom_station,adresse_station,code_insee_commune,coordonneesXY,nbre_pdc,date_mise_en_service,date_maj
La Chapelle St Ursin,Parking de la poste - 18570 LA CHAPELLE ST URSIN,18050,"[47.0627442,2.3216257]",1,3/21/2017,7/13/2022
La Chapelle St Ursin,Parking de la poste - 18570 LA CHAPELLE ST URSIN,18050,"[47.0627442,2.3216257]",1,3/21/2017,7/13/2022
Charost,Place François Chapus - 18290 CHAROST,18055,"[46.9924213,2.1174549]",1,02/11/2016,7/13/2022
Charost,Place François Chapus - 18290 CHAROST,18055,"[46.9924213,2.1174549]",1,02/11/2016,7/13/2022
Chateaumeillant,Place de l Eglise - 18370 CHATEAUMEILLANT,18057,"[46.5621523,2.2010838]",1,2/21/2018,7/13/2022
Chateaumeillant,Place de l Eglise - 18370 CHATEAUMEILLANT,18057,"[46.5621523,2.2010838]",1,2/21/2018,7/13/2022
Chateauneuf sur Cher,Parking de la poste - 18190 CHATEAUNEUF SUR CHER,18058,"[46.85747,2.3192016]",1,03/06/2018,7/13/2022
Chateauneuf sur Cher,Parking de la poste - 18190 CHATEAUNEUF SUR CHER,18058,"[46.85747,2.3192016]",1,03/06/2018,7/13/2022
Le Chatelet,Place de la mairie - 18170 LE CHATELET,18059,"[46.6423156,2.2834187]",1,2/21/2018,7/13/2022
Le Chatelet,Place de la mairie - 18170 LE CHATELET,18059,"[46.6423156,2.2834187]",1,2/21/2018,7/13/2022
Chezal Benoit,Place de la Poste - 18160 CHEZAL-BENOIT,18065,"[46.8267421,2.1164165]",1,09/09/2015,7/13/2022
Chezal Benoit,Place de la Poste - 18160 CHEZAL-BENOIT,18065,"[46.8267421,2.1164165]",1,09/09/2015,7/13/2022
Cours les Barres,Place de l Eglise - 18320 COURS LES BARRES,18075,"[47.0256552,3.0317329]",1,02/03/2017,7/13/2022
Cours les Barres,Place de l Eglise - 18320 COURS LES BARRES,18075,"[47.0256552,3.0317329]",1,02/03/2017,7/13/2022
Cuffy,Rue du Port - 18150 CUFFY,18082,"[46.9472749,3.0676172]",1,02/01/2017,7/13/2022
Cuffy,Rue du Port - 18150 CUFFY,18082,"[46.9472749,3.0676172]",1,02/01/2017,7/13/2022
Culan,Place du champ de foire - 18270 CULAN,18083,"[46.5471416,2.3465169]",1,2/21/2018,7/13/2022
Culan,Place du champ de foire - 18270 CULAN,18083,"[46.5471416,2.3465169]",1,2/21/2018,7/13/2022
Dun sur Auron,Parking de la Piscine - 18130 DUN-SUR-AURON,18087,"[46.8828722,2.5651538]",1,07/12/2016,7/13/2022
Dun sur Auron,Parking de la Piscine - 18130 DUN-SUR-AURON,18087,"[46.8828722,2.5651538]",1,07/12/2016,7/13/2022
Ennordres,Camping - 18380 ENNORDRES,18088,"[47.4279525,2.3796366]",1,4/20/2018,7/13/2022
Ennordres,Camping - 18380 ENNORDRES,18088,"[47.4279525,2.3796366]",1,4/20/2018,7/13/2022
Ennordres,La Surprise - 18380 ENNORDES,18088,"[47.411948,2.4350891]",1,3/16/2018,7/13/2022
Ennordres,La Surprise - 18380 ENNORDES,18088,"[47.411948,2.4350891]",1,3/16/2018,7/13/2022
Epineuil le Fleuriel,Route de Vallon - 18360 EPINEUIL-LE-FLEURIEL,18089,"[46.5585226,2.5836225]",1,2/21/2018,7/13/2022
Epineuil le Fleuriel,Route de Vallon - 18360 EPINEUIL-LE-FLEURIEL,18089,"[46.5585226,2.5836225]",1,2/21/2018,7/13/2022
Farges en Septaine,Place de la Mairie - 18800 FARGES-EN-SEPTAINE,18092,"[47.0732019,2.6502551]",1,7/22/2016,7/13/2022
Farges en Septaine,Place de la Mairie - 18800 FARGES-EN-SEPTAINE,18092,"[47.0732019,2.6502551]",1,7/22/2016,7/13/2022
Foecy,Rue Gaston Cornavin - 18500 FOECY,18096,"[47.1786933,2.1604604]",1,06/07/2018,7/13/2022
Foecy,Rue Gaston Cornavin - 18500 FOECY,18096,"[47.1786933,2.1604604]",1,06/07/2018,7/13/2022
Fussy,Place de la Poste - 18110 FUSSY,18097,"[47.1450594,2.4290438]",1,5/27/2016,7/13/2022
Fussy,Place de la Poste - 18110 FUSSY,18097,"[47.1450594,2.4290438]",1,5/27/2016,7/13/2022
Gracay,Place du Gapion - 18310 GRACAY,18103,"[47.1428978,1.844376]",1,02/04/2016,7/13/2022
Gracay,Place du Gapion - 18310 GRACAY,18103,"[47.1428978,1.844376]",1,02/04/2016,7/13/2022
La Guerche sur l Aubois - Place Auguste Fournier,Place Auguste Fournier - 18150 LA GUERCHE SUR L AUBOIS,18108,"[46.9518797,2.9488165]",1,5/30/2017,7/13/2022
La Guerche sur l Aubois - Place Auguste Fournier,Place Auguste Fournier - 18150 LA GUERCHE SUR L AUBOIS,18108,"[46.9518797,2.9488165]",1,02/03/2017,7/13/2022
La Guerche - Netto,Avenue de l Europe - 18150 LA GUERCHE-SUR-L-AUBOIS,18108,"[46.9397677,2.9404834]",1,5/30/2018,7/13/2022
La Guerche - Netto,Avenue de l Europe - 18150 LA GUERCHE-SUR-L-AUBOIS,18108,"[46.9397677,2.9404834]",1,5/30/2018,7/13/2022
Henrichemont - Place de l Eglise,Place de l Eglise - 18250 HENRICHEMONT,18109,"[47.3032144,2.5261736]",1,6/21/2017,7/13/2022
Henrichemont - Place de l Eglise,Place de l Eglise - 18250 HENRICHEMONT,18109,"[47.3032144,2.5261736]",1,6/21/2017,7/13/2022
Henrichemont - la Borne,La Borne - 18250 HENRICHEMONT,18109,"[47.2856341,2.5793588]",1,02/09/2018,7/13/2022
Henrichemont - la Borne,La Borne - 18250 HENRICHEMONT,18109,"[47.2856341,2.5793588]",1,02/09/2018,7/13/2022
