nom_station,adresse_station,code_insee_commune,coordonneesXY,nbre_pdc,date_mise_en_service,date_maj
Avord - Parking des Alouettes,Rue des Alouettes - 18520 AVORD,18018,"[47.0327243,2.6519766]",1,7/22/2016,7/13/2022
Avord - Parking des Alouettes,Rue des Alouettes - 18520 AVORD,18018,"[47.0327243,2.6519766]",1,7/22/2016,7/13/2022
Bannegon,Place St Georges - 18210 BANNEGON,18021,"[46.8010561,2.7134376]",1,08/12/2016,7/13/2022
Bannegon,Place St Georges - 18210 BANNEGON,18021,"[46.8010561,2.7134376]",1,08/12/2016,7/13/2022
Baugy,Rue de la Halle - 18800 BAUGY,18023,"[47.0822449,2.7294331]",1,7/22/2016,7/13/2022
Baugy,Rue de la Halle - 18800 BAUGY,18023,"[47.0822449,2.7294331]",1,7/22/2016,7/13/2022
Blancafort,Place de la Mairie - 18410 BLANCAFORT,18030,"[47.5322031,2.5285667]",1,3/16/2018,7/13/2022
Blancafort,Place de la Mairie - 18410 BLANCAFORT,18030,"[47.5322031,2.5285667]",1,3/16/2018,7/13/2022
Blet,Place de l Eglise - 18350 BLET,18031,"[46.8956458,2.7306654]",1,12/20/2017,7/13/2022
Blet,Place de l Eglise - 18350 BLET,18031,"[46.8956458,2.7306654]",1,12/20/2017,7/13/2022
Boulleret,Place de l Eglise - 18240 BOULLERET,18032,"[47.4239562,2.8732176]",1,09/09/2015,7/13/2022
Boulleret,Place de l Eglise - 18240 BOULLERET,18032,"[47.4239562,2.8732176]",1,09/09/2015,7/13/2022
Bourges - Place de la Nation,Place de la Nation - 18000 BOURGES,18033,"[47.0840408,2.390722]",1,3/20/2017,7/13/2022
Bourges - Place de la Nation,Place de la Nation - 18000 BOURGES,18033,"[47.0840408,2.390722]",1,3/20/2017,7/13/2022
